Text Range,Leaf,Page,Bar Hama 2,Gap,Notes,URL-suffix
Deut 28:17–28:45,1r,1,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_001r,Before,,001r
Deut 28:45–28:66,1v,2,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_001v,,,001v
Deut 28:66–29:19,2r,3,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_002r,,,002r
Deut 29:19–30:11,2v,4,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_002v,,,002v
Deut 30:11–31:12,3r,5,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_003r,,,003r
Deut 31:12–31:28,3v,6,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_003v,,,003v
Deut 31:28–32:14,4r,7,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_004r,,,004r
Deut 32:14–32:33,4v,8,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_004v,,,004v
Deut 32:33–32:50,5r,9,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_005r,,,005r
Deut 32:50–33:29,5v,10,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_005v,,,005v
Deut 33:29–34:12,6r,11,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_006r,,,006r
Josh 1:1–2:4,6v,12,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_006v,,,006v
Josh 2:4–3:3,7r,13,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_007r,,,007r
Josh 3:3–4:6,7v,14,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_007v,,,007v
Josh 4:6–5:3,8r,15,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_008r,,,008r
Josh 5:3–6:8,8v,16,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_008v,,,008v
Josh 6:8–6:26,9r,17,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_009r,,,009r
Josh 6:26–7:21,9v,18,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_009v,,,009v
Josh 7:21–8:15,10r,19,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_010r,,,010r
Josh 8:15–8:35,10v,20,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_010v,,,010v
Josh 8:35–9:23,11r,21,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_011r,,,011r
Josh 9:23–10:15,11v,22,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_011v,,,011v
Josh 10:15–10:34,12r,23,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_012r,,,012r
Josh 10:34–11:11,12v,24,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_012v,,,012v
Josh 11:11–12:7,13r,25,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_013r,,,013r
Josh 12:7–13:14,13v,26,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_013v,,,013v
Josh 13:14–14:6,14r,27,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_014r,,,014r
Josh 14:6–15:10,14v,28,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_014v,,,014v
Josh 15:10–15:53,15r,29,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_015r,,,015r
Josh 15:53–17:7,15v,30,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_015v,,,015v
Josh 17:7–18:8,16r,31,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_016r,,,016r
Josh 18:9–19:7,16v,32,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_016v,,,016v
Josh 19:7–19:36,17r,33,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_017r,,,017r
Josh 19:36–21:1,17v,34,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_017v,,,017v
Josh 21:1–21:25,18r,35,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_018r,,,018r
Josh 21:25–22:5,18v,36,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_018v,,,018v
Josh 22:5–22:21,19r,37,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_019r,,,019r
Josh 22:21–23:4,19v,38,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_019v,,,019v
Josh 23:4–24:6,20r,39,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_020r,,,020r
Josh 24:7–24:26,20v,40,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_020v,,,020v
Josh 24:26–Judg 1:15,21r,41,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_021r,,,021r
Judg 1:15–2:1,21v,42,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_021v,,,021v
Judg 2:1–2:22,22r,43,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_022r,,,022r
Judg 2:22–3:20,22v,44,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_022v,,,022v
Judg 3:20–4:10,23r,45,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_023r,,,023r
Judg 4:10–5:10,23v,46,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_023v,,,023v
Judg 5:10–5:25,24r,47,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_024r,,,024r
Judg 5:25–6:10,24v,48,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_024v,,,024v
Judg 6:11–6:30,25r,49,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_025r,,,025r
Judg 6:30–7:9,25v,50,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_025v,,,025v
Judg 7:9–8:2,26r,51,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_026r,,,026r
Judg 8:2–8:24,26v,52,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_026v,,,026v
Judg 8:25–9:12,27r,53,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_027r,,,027r
Judg 9:12–9:33,27v,54,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_027v,,,027v
Judg 9:33–9:56,28r,55,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_028r,,,028r
Judg 9:56–11:2,28v,56,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_028v,,,028v
Judg 11:2–11:22,29r,57,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_029r,,,029r
Judg 11:23–12:3,29v,58,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_029v,,,029v
Judg 12:3–13:9,30r,59,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_030r,,,030r
Judg 13:9–14:6,30v,60,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_030v,,,030v
Judg 14:6–15:6,31r,61,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_031r,,,031r
Judg 15:6–16:6,31v,62,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_031v,,,031v
Judg 16:6–16:25,32r,63,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_032r,,,032r
Judg 16:25–18:1,32v,64,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_032v,,,032v
Judg 18:1–18:20,33r,65,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_033r,,,033r
Judg 18:20–19:10,33v,66,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_033v,,,033v
Judg 19:10–19:30,34r,67,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_034r,,,034r
Judg 19:30–20:20,34v,68,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_034v,,,034v
Judg 20:20–20:40,35r,69,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_035r,,,035r
Judg 20:40–21:15,35v,70,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_035v,,,035v
Judg 21:15–1 Sam 1:13,36r,71,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_036r,,,036r
1 Sam 1:13–2:11,36v,72,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_036v,,,036v
1 Sam 2:11–2:33,37r,73,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_037r,,,037r
1 Sam 2:33–3:21,37v,74,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_037v,,,037v
1 Sam 3:21–4:19,38r,75,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_038r,,,038r
1 Sam 4:20–6:5,38v,76,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_038v,,,038v
1 Sam 6:5–7:1,39r,77,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_039r,,,039r
1 Sam 7:1–8:4,39v,78,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_039v,,,039v
1 Sam 8:4–9:6,40r,79,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_040r,,,040r
1 Sam 9:6–9:25,40v,80,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_040v,,,040v
1 Sam 9:25–10:18,41r,81,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_041r,,,041r
1 Sam 10:18–11:10,41v,82,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_041v,,,041v
1 Sam 11:11–12:15,42r,83,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_042r,,,042r
1 Sam 12:15–13:11,42v,84,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_042v,,,042v
1 Sam 13:11–14:9,43r,85,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_043r,,,043r
1 Sam 14:9–14:30,43v,86,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_043v,,,043v
1 Sam 14:30–14:52,44r,87,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_044r,,,044r
1 Sam 14:52–15:20,44v,88,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_044v,,,044v
1 Sam 15:20–16:7,45r,89,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_045r,,,045r
1 Sam 16:7–17:7,45v,90,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_045v,,,045v
1 Sam 17:7–17:27,46r,91,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_046r,,,046r
1 Sam 17:27–17:47,46v,92,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_046v,,,046v
1 Sam 17:47–18:12,47r,93,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_047r,,,047r
1 Sam 18:12–19:5,47v,94,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_047v,,,047v
1 Sam 19:5–20:2,48r,95,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_048r,,,048r
1 Sam 20:2–20:25,48v,96,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_048v,,,048v
1 Sam 20:25–21:3,49r,97,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_049r,,,049r
1 Sam 21:3–22:7,49v,98,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_049v,,,049v
1 Sam 22:7–23:5,50r,99,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_050r,,,050r
1 Sam 23:5–23:26,50v,100,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_050v,,,050v
1 Sam 23:27–24:19,51r,101,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_051r,,,051r
1 Sam 24:19–25:20,51v,102,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_051v,,,051v
1 Sam 25:20–25:40,52r,103,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_052r,,,052r
1 Sam 25:40–26:16,52v,104,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_052v,,,052v
1 Sam 26:16–27:12,53r,105,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_053r,,,053r
1 Sam 27:12–28:19,53v,106,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_053v,,,053v
1 Sam 28:19–30:1,54r,107,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_054r,,,054r
1 Sam 30:1–30:22,54v,108,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_054v,,,054v
1 Sam 30:22–31:12,55r,109,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_055r,,,055r
1 Sam 31:13–2 Sam 1:25,55v,110,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_055v,,,055v
2 Sam 1:26–2:21,56r,111,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_056r,,,056r
2 Sam 2:21–3:10,56v,112,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_056v,,,056v
2 Sam 3:11–3:31,57r,113,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_057r,,,057r
2 Sam 3:31–4:12,57v,114,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_057v,,,057v
2 Sam 4:12–5:23,58r,115,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_058r,,,058r
2 Sam 5:23–6:20,58v,116,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_058v,,,058v
2 Sam 6:20–7:19,59r,117,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_059r,,,059r
2 Sam 7:19–8:11,59v,118,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_059v,,,059v
2 Sam 8:11–10:2,60r,119,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_060r,,,060r
2 Sam 10:2–11:3,60v,120,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_060v,,,060v
2 Sam 11:3–11:25,61r,121,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_061r,,,061r
2 Sam 11:25–12:20,61v,122,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_061v,,,061v
2 Sam 12:20–13:12,62r,123,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_062r,,,062r
2 Sam 13:13–13:34,62v,124,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_062v,,,062v
2 Sam 13:34–14:18,63r,125,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_063r,,,063r
2 Sam 14:18–15:6,63v,126,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_063v,,,063v
2 Sam 15:6–15:27,64r,127,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_064r,,,064r
2 Sam 15:27–16:11,64v,128,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_064v,,,064v
2 Sam 16:11–17:11,65r,129,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_065r,,,065r
2 Sam 17:12–18:2,65v,130,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_065v,,,065v
2 Sam 18:2–18:22,66r,131,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_066r,,,066r
2 Sam 18:22–19:9,66v,132,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_066v,,,066v
2 Sam 19:9–19:29,67r,133,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_067r,,,067r
2 Sam 19:29–20:4,67v,134,https://barhama.com/aleppocodex/?image=ALEPPO_CODEX_067v,,,067v
